name,WKT,group
ODEON Luxe Leicester Square,"POLYGON((-0.12132681057211303 51.511520310090546, -0.12078707904196179 51.510946561827375, -0.12388506748232395 51.50675818289887, -0.13008049883252978 51.51039622272692, -0.12964707940411382 51.510984978319804, -0.12132681057211303 51.511520310090546))",Cinema
ODEON Luxe Putney,"POLYGON((-0.20975166678474222 51.45530595812867, -0.2117886688757982 51.45551004785656, -0.2122852150329477 51.45557858925057, -0.21277027743558866 51.45567381578655, -0.2132401644659483 51.455795002733055, -0.2136913 51.455941227784265, -0.2141202506239266 51.45611137807923, -0.21452375176447253 51.45630415867148, -0.21489873253431757 51.456518102384294, -0.21524233910338364 51.456751580976835, -0.21555195641820482 51.45700281753604, -0.22924734908880479 51.46832203570179, -0.21806063962525193 51.47969156211456, -0.19298819857202937 51.46733126434729, -0.20975166678474222 51.45530595812867))",Cinema
ODEON Luxe Swiss Cottage,"POLYGON((-0.16289185752446564 51.532358880267125, -0.19281426329443124 51.53809081473162, -0.173115130513838 51.54789587086802, -0.1590333198313902 51.54201558837238, -0.15921667002273415 51.533526743970405, -0.16289185752446564 51.532358880267125))",Cinema
ODEON Luxe West End,"POLYGON((-0.12388506748232395 51.50675818289887, -0.12548200277543003 51.50407205309539, -0.13117012880842466 51.51026056466603, -0.13008049883252978 51.51039622272692, -0.12388506748232395 51.50675818289887))",Cinema
ODEON Tottenham Court Rd,"POLYGON((-0.141278016190351 51.52970574224785, -0.12341918891229187 51.51850473419093, -0.12439683938534354 51.51642434666388, -0.13663322612932838 51.51487900389517, -0.14212675820234108 51.52955363029692, -0.141278016190351 51.52970574224785))",Cinema
Olympic Studios,"POLYGON((-0.21806063962525193 51.47969156211456, -0.22924734908880479 51.46832203570179, -0.24783493203941162 51.483684640604935, -0.22698008631489935 51.48844185675628, -0.2201070534944079 51.48636445921368, -0.21806063962525193 51.47969156211456))",Cinema
Peckhamplex,"POLYGON((-0.09269504793651547 51.4679366453722, -0.09998138599870617 51.481782508525875, -0.09214458431244442 51.484962955862, -0.06469785495379991 51.49227608814516, -0.05172310130735059 51.492359062051065, -0.044255512890499255 51.48878081100571, -0.032604652243398154 51.45857310492422, -0.04265755365146585 51.45726694974892, -0.09269504793651547 51.4679366453722))",Cinema
Picturehouse Central,"POLYGON((-0.1369473028960144 51.51451764646903, -0.13218691903812024 51.5117147566112, -0.13203953222104442 51.51045872992421, -0.13297112352478993 51.50965150276695, -0.1423575189563926 51.51070008481176, -0.1427190690836621 51.51118778944192, -0.1369473028960144 51.51451764646903))",Cinema
Regent Street Cinema,"POLYGON((-0.14213396632858816 51.52955356322288, -0.14212675820234108 51.52955363029692, -0.13663322612932838 51.51487900389517, -0.1369473028960144 51.51451764646903, -0.1427190690836621 51.51118778944192, -0.15348044668744834 51.51324703335069, -0.14213396632858816 51.52955356322288))",Cinema
Rio Cinema,"POLYGON((-0.0600502881533427 51.55545623882554, -0.0710552148883477 51.5379672968344, -0.08553455205641332 51.54018976812839, -0.09771055805552846 51.55246602466194, -0.07596771362969801 51.569915700770984, -0.061470516732981345 51.56640305618111, -0.0600502881533427 51.55545623882554))",Cinema
Ritzy Cinema and Cafe,"POLYGON((-0.09998138599870617 51.481782508525875, -0.09269504793651547 51.4679366453722, -0.09838684274434349 51.45002614469079, -0.1013338311242018 51.449643247856564, -0.10183808201978116 51.44960191324593, -0.1023462 51.4495881, -0.1283808912628842 51.449335234271125, -0.12478696546141191 51.47416843629839, -0.10968641806324167 51.482791650666414, -0.09998138599870617 51.481782508525875))",Cinema
The Chiswick Cinema,"POLYGON((-0.22698008631489935 51.48844185675628, -0.24783493203941162 51.483684640604935, -0.2592310564182048 51.49310351753604, -0.25950432810406326 51.4933706, -0.25973917439842364 51.493651495709884, -0.25993380797918186 51.49394406687973, -0.26008674756726524 51.494246086866276, -0.26019682920006115 51.49455525711507, -0.2602632150898749 51.494869224653826, -0.2631773475989501 51.510509529109555, -0.2573210454955142 51.512608135201845, -0.23808655469375659 51.50179314343975, -0.23731712356198018 51.50120157013979, -0.22698008631489935 51.48844185675628))",Cinema
The Cinema in The Power Station,"POLYGON((-0.10968641806324167 51.482791650666414, -0.12478696546141191 51.47416843629839, -0.164560218866756 51.468786917369236, -0.15569231205743578 51.492234983903245, -0.11116325762511889 51.48382008755043, -0.10968641806324167 51.482791650666414))",Cinema
The Gate Picturehouse,"POLYGON((-0.19088940241749866 51.49490343280557, -0.20035365449300024 51.49455593704665, -0.20944458191193074 51.50827243768297, -0.20946417918598048 51.50848160109705, -0.1968850682065911 51.51397706121937, -0.1765378967494213 51.50061814366094, -0.19088940241749866 51.49490343280557))",Cinema
