name,WKT,group
Leathermarket Gardens,"POLYGON((-0.07828527650932464 51.50932665832372, -0.07751257606066823 51.50902378337294, -0.08398421986834662 51.49744665046171, -0.08666182687572366 51.499769390713624, -0.07828527650932464 51.50932665832372))",Park
Guy Street Park,"POLYGON((-0.08869721985169715 51.51211159986775, -0.08506712010009448 51.51260432214127, -0.07828527650932464 51.50932665832372, -0.08666182687572366 51.499769390713624, -0.09031694774234945 51.500916458603754, -0.08869721985169715 51.51211159986775))",Park
Tabard Gardens,"POLYGON((-0.09256686470189722 51.49978438734773, -0.09031694774234945 51.500916458603754, -0.08666182687572366 51.499769390713624, -0.08398421986834662 51.49744665046171, -0.0833760649871738 51.49609896899542, -0.08905007363958779 51.495485870283446, -0.09256686470189722 51.49978438734773))",Park
Little Dorrit Park,"POLYGON((-0.09600348112153756 51.49958270720756, -0.09187975536214786 51.51211103230352, -0.08869721985169715 51.51211159986775, -0.09031694774234945 51.500916458603754, -0.09256686470189722 51.49978438734773, -0.09600348112153756 51.49958270720756))",Park
Mint Street Park,"POLYGON((-0.10072200265797117 51.49844980881216, -0.09816708178729645 51.51245048165234, -0.09187975536214786 51.51211103230352, -0.09600348112153756 51.49958270720756, -0.10060946808971687 51.49837272256708, -0.10072200265797117 51.49844980881216))",Park
Nelson Square,"POLYGON((-0.11120751943788783 51.514998424901385, -0.09816708178729645 51.51245048165234, -0.10072200265797117 51.49844980881216, -0.10364482682613414 51.49914594691661, -0.11228366329049795 51.51403003521384, -0.11120751943788783 51.514998424901385))",Park
Ufford Street Gardens,"POLYGON((-0.10364482682613414 51.49914594691661, -0.11677957188064089 51.49897832298256, -0.1208126871816599 51.50284443329501, -0.12027606426851722 51.50837435784725, -0.11228366329049795 51.51403003521384, -0.10364482682613414 51.49914594691661))",Park
The Regent's Park,"POLYGON((-0.13943738735944874 51.53348622378968, -0.16998902108820388 51.521591045497146, -0.170966576543477 51.52171288967247, -0.17542825114086064 51.54112406100056, -0.17323282883004773 51.544542025056856, -0.15660070024010073 51.54102305464931, -0.13943738735944874 51.53348622378968))",Park
Paddington Recreation Ground,"POLYGON((-0.170966576543477 51.52171288967247, -0.18643401701085988 51.51471300031235, -0.19672629797974328 51.51661755567617, -0.20079196199436394 51.53308164706173, -0.1985259315332476 51.5362027045676, -0.17542825114086064 51.54112406100056, -0.170966576543477 51.52171288967247))",Park
Queen's Park,"POLYGON((-0.20079196199436394 51.53308164706173, -0.2221548086281788 51.53090746956151, -0.22295274216481725 51.53134508892616, -0.21751635723120058 51.54713405001926, -0.21517988026159754 51.54626548942248, -0.1985259315332476 51.5362027045676, -0.20079196199436394 51.53308164706173))",Park
King Edward VII Park,"POLYGON((-0.21751635723120058 51.54713405001926, -0.22295274216481725 51.53134508892616, -0.23791000104485185 51.53043737967172, -0.3488538972603767 51.55206934850085, -0.34653323667909375 51.55669490929619, -0.3388163651815198 51.56837342411378, -0.329487103844382 51.57958871497106, -0.31861559892934693 51.59025505350276, -0.3062839553694314 51.600290848525994, -0.2925856316994723 51.609619279590646, -0.27762474121965125 51.6181688951085, -0.27616529988358474 51.61886695606216, -0.21751635723120058 51.54713405001926))",Park
Kilburn Grange Park,"POLYGON((-0.17542825114086064 51.54112406100056, -0.1985259315332476 51.5362027045676, -0.21517988026159754 51.54626548942248, -0.17353438795623993 51.54654293211654, -0.17323282883004773 51.544542025056856, -0.17542825114086064 51.54112406100056))",Park
Maygrove Peace Park,"POLYGON((-0.17345772740311127 51.547273600285834, -0.17353438795623993 51.54654293211654, -0.21517988026159754 51.54626548942248, -0.21751635723120058 51.54713405001926, -0.27616529988358474 51.61886695606216, -0.26151526429773814 51.62587417009646, -0.2443801776328366 51.632676018859314, -0.23253841947620896 51.63651578695246, -0.17345772740311127 51.547273600285834))",Park
Parliament Hill Fields,"POLYGON((-0.1779151790066316 51.64314031120086, -0.14669646677474432 51.5548506294528, -0.17345772740311127 51.547273600285834, -0.23253841947620896 51.63651578695246, -0.22635050718355693 51.63852225827794, -0.20756431229202024 51.643368017755115, -0.18816560929749113 51.64717609230083, -0.1804477467302751 51.648241210546985, -0.1779151790066316 51.64314031120086))",Park
Castlehaven Community Park,"POLYGON((-0.12896197157709682 51.533012858779585, -0.13943738735944874 51.53348622378968, -0.15660070024010073 51.54102305464931, -0.14081014835862965 51.54720277943757, -0.12942989370268632 51.534120283098744, -0.12896197157709682 51.533012858779585))",Park
Tufnell Park Playing Fields,"POLYGON((-0.14095006560942036 51.55258509136222, -0.14464528925065273 51.55439806250165, -0.13411559509593995 51.56202317564355, -0.12192764798630876 51.554756674502286, -0.12769620523189223 51.5527924972407, -0.14095006560942036 51.55258509136222))",Park
Dartmouth Park,"POLYGON((-0.14669646677474432 51.5548506294528, -0.1779151790066316 51.64314031120086, -0.1344790146627059 51.572628947780125, -0.13411559509593995 51.56202317564355, -0.14464528925065273 51.55439806250165, -0.14669646677474432 51.5548506294528))",Park
Whittington Park,"POLYGON((-0.13411559509593995 51.56202317564355, -0.1344790146627059 51.572628947780125, -0.11473010025709984 51.5576559180691, -0.12071993862507985 51.554911006847206, -0.12192764798630876 51.554756674502286, -0.13411559509593995 51.56202317564355))",Park
Wray Crescent Open Space & Playground,"POLYGON((-0.1344790146627059 51.572628947780125, -0.1779151790066316 51.64314031120086, -0.1804477467302751 51.648241210546985, -0.1683032436160423 51.64991723570872, -0.1496168187410634 51.65144852829472, -0.10632056691911133 51.55962565431061, -0.11012248847505895 51.55828640674312, -0.11473010025709984 51.5576559180691, -0.1344790146627059 51.572628947780125))",Park
